7904SEGAEuropeLtd.TwoPointHospital-GamePass_zs7esxpzd8d5c|%HOMEDRIVE%%HOMEPATH%\AppData\LocalLow\Two Point Studios\Two Point Hospital\Cloud\<user-id>\
Microsoft.OriandtheBlindForestDefinitiveEdition_8wekyb3d8bbwe|%LOCALAPPDATA%\Ori and the Blind Forest DE\
Microsoft.624F8B84B80_8wekyb3d8bbwe|<Steam-folder>\userdata\<user-id>\1551360\remote\<user-id>\
Microsoft.MSPhoenix_8wekyb3d8bbwe|
39C668CD.DXM-EidosMontreal_r7bfsmp40f67j|<Steam-folder>\userdata\<user-id>\1088850\remote\
